stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
7425,60133,פארק שבעת המינים, רחוב:פחד יצחק 20 עיר: ביתר עילית רציף:   קומה:  ,31.701458,35.111915,0,,3780
7426,60134,פחד יצחק/יסוד העבודה, רחוב:פחד יצחק 28 עיר: ביתר עילית רציף:   קומה:  ,31.700788,35.109327,0,,3780
7427,60135,חיי יצחק/הרב בנדר, רחוב:חיי יצחק 17 עיר: ביתר עילית רציף:   קומה:  ,31.701305,35.119233,0,,3780
7428,60136,חיי יצחק/ הטוב והמטיב, רחוב:חיי יצחק 5 עיר: ביתר עילית רציף:   קומה:  ,31.701578,35.121111,0,,3780
7429,60137,בית כנסת קליבלנד/הבבא סאלי, רחוב:בבא סאלי 4 עיר: ביתר עילית רציף:   קומה:  ,31.693215,35.113671,0,,3780
7430,60138,טיפת חלב/בבא סאלי, רחוב:בבא סאלי 12 עיר: ביתר עילית רציף:   קומה:  ,31.693567,35.111564,0,,3780
7431,60139,הדף היומי/מעלות טשכנוב, רחוב:הדף היומי 8 עיר: ביתר עילית רציף:   קומה:  ,31.691634,35.109190,0,,3780
7432,60140,הרב קעניג/מעלות רבי הלל, רחוב:הרב קעניג 15 עיר: ביתר עילית רציף:   קומה:  ,31.691729,35.106866,0,,3780
7433,60141,בית הכנסת עטרת הנחל/הרב קעניג, רחוב:הרב קעניג 7 עיר: ביתר עילית רציף:   קומה:  ,31.692938,35.108212,0,,3780
7434,60142,בית הכנסת זכור לאברהם/הרב קעניג, רחוב:הרב קעניג 10 עיר: ביתר עילית רציף:   קומה:  ,31.692936,35.107909,0,,3780
7435,60143,הרב קעניג/מעלות רבי הלל, רחוב:הרב קעניג 18 עיר: ביתר עילית רציף:   קומה:  ,31.691893,35.106747,0,,3780
7436,60144,הדף היומי/מעלות טשכנוב, רחוב:הדף היומי 13 עיר: ביתר עילית רציף:   קומה:  ,31.691586,35.109279,0,,3780
7437,60145,חיי יצחק/הרב בנדר, רחוב:חיי יצחק 8 עיר: ביתר עילית רציף:   קומה:  ,31.701675,35.120890,0,,3780
7438,60146,ת''ת תפארת התורה/חיי יצחק, רחוב:חיי יצחק 14 עיר: ביתר עילית רציף:   קומה:  ,31.701568,35.118628,0,,3780
7439,60147,יסוד העבודה/פחד יצחק, רחוב:יסוד העבודה 4 עיר: ביתר עילית רציף:   קומה:  ,31.700954,35.108754,0,,3780
7440,60148,פארק שבעת המינים, רחוב:פחד יצחק 25 עיר: ביתר עילית רציף:   קומה:  ,31.701380,35.112045,0,,3780
7441,60149,שטיבלאך קהל חסידים/פחד יצחק, רחוב:פחד יצחק 13 עיר: ביתר עילית רציף:   קומה:  ,31.701651,35.114440,0,,3780
7442,60150,הרב ברים/פחד יצחק, רחוב:הרב ברים 9 עיר: ביתר עילית רציף:   קומה:  ,31.703334,35.115433,0,,3780
7443,60151,מרכז מסחרי כיכר העיר, רחוב:הרב ברים 3 עיר: ביתר עילית רציף:   קומה:  ,31.704103,35.116926,0,,3780
7444,60152,דרך האר''י/ כביש 375, רחוב:המגיד ממעזריטש 1 עיר: ביתר עילית רציף:   קומה:  ,31.704539,35.126229,0,,3780
7445,60153,קנייבסקי/בבא סאלי, רחוב:הרב קנייבסקי 5 עיר: ביתר עילית רציף:   קומה:  ,31.694070,35.110386,0,,3780
7446,60154,ברסלב/אודיטוריום, רחוב:רבי נחמן מברסלב 7 עיר: ביתר עילית רציף:   קומה:  ,31.695457,35.117049,0,,3780
7447,60155,קנייבסקי/בבא סאלי, רחוב:הרב קנייבסקי 6 עיר: ביתר עילית רציף:   קומה:  ,31.693820,35.110354,0,,3780
7448,60156,הרבי מלובביץ/הרבי מנדבורנא, רחוב:הרבי מלובביץ' 11 עיר: ביתר עילית רציף:   קומה:  ,31.691919,35.116265,0,,3780
7449,60157,אש קודש/הרבי מלובביץ, רחוב:אש קודש 17 עיר: ביתר עילית רציף:   קומה:  ,31.693084,35.117622,0,,3780
7450,60158,אריאלי/ריב'ז, רחוב:הרב יצחק אריאלי 6 עיר: ביתר עילית רציף:   קומה:  ,31.694327,35.118608,0,,3780
7451,60159,דרך האר''י/ כביש 375, רחוב:המגיד ממעזריטש 2 עיר: ביתר עילית רציף:   קומה:  ,31.704790,35.126095,0,,3780
7452,60160,נדבורנא/ בבא סאלי, רחוב:הרבי מנדבורנא 2 עיר: ביתר עילית רציף:   קומה:  ,31.692873,35.110570,0,,3780
